p,percentage
http://bias.org/vocab/media_common/netflix_title/netflix_genres,0.0054355445
http://bias.org/vocab/film/film/language,0.0053055235
http://bias.org/vocab/location/location/people_born_here,0.0051315995
http://bias.org/vocab/people/person/place_of_birth,0.0051315995
http://bias.org/vocab/film/film/country,0.0049745617
http://bias.org/vocab/film/film/distributors./film/film_film_distributor_relationship/distributor,0.0048175235
http://bias.org/vocab/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,0.0048175235
http://bias.org/vocab/education/educational_degree/people_with_this_degree./education/education/institution,0.0047077658
http://bias.org/vocab/education/educational_institution/students_graduates./education/education/degree,0.0047077658
http://bias.org/vocab/soccer/football_team/current_roster./soccer/football_roster_position/position,0.0047077658
http://bias.org/vocab/soccer/football_team/current_roster./sports/sports_team_roster/position,0.0047027
http://bias.org/vocab/sports/sports_position/players./soccer/football_roster_position/team,0.0047027
http://bias.org/vocab/sports/sports_team/roster./soccer/football_roster_position/position,0.0047027
http://bias.org/vocab/music/artist/label,0.004645288
http://bias.org/vocab/music/record_label/artist,0.004645288
http://bias.org/vocab/olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/sport,0.004427461
http://bias.org/vocab/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,0.004427461
http://bias.org/vocab/location/location/adjoin_s./location/adjoining_relationship/adjoins,0.0043092603
http://bias.org/vocab/people/ethnicity/people,0.0042130114
http://bias.org/vocab/people/person/ethnicity,0.0042130114
http://bias.org/vocab/music/group_member/instruments_played,0.004040776
http://bias.org/vocab/music/instrument/instrumentalists,0.004040776
http://bias.org/vocab/influence/influence_node/influenced,0.0039462154
http://bias.org/vocab/influence/influence_node/influenced_by,0.0039462154
http://bias.org/vocab/music/artist/track_contributions./music/track_contribution/role,0.0036709765
http://bias.org/vocab/music/performance_role/track_performances./music/track_contribution/contributor,0.0036709765
http://bias.org/vocab/film/film/production_companies,0.0032167481
http://bias.org/vocab/film/production_company/films,0.0032167481
http://bias.org/vocab/base/popstra/celebrity/friendship./base/popstra/friendship/participant,0.0031812878
http://bias.org/vocab/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,0.0029752809
http://bias.org/vocab/base/popstra/celebrity/dated./base/popstra/dated/participant,0.0028874746
http://bias.org/vocab/music/musical_group/member./music/group_membership/role,0.0027034192
http://bias.org/vocab/music/performance_role/regular_performances./music/group_membership/group,0.0027034192
http://bias.org/vocab/film/film/produced_by,0.002679779
http://bias.org/vocab/film/producer/film,0.002679779
http://bias.org/vocab/tv/tv_actor/starring_roles./tv/regular_tv_appearance/series,0.0026021043
http://bias.org/vocab/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,0.0026021043
http://bias.org/vocab/film/film/estimated_budget./measurement_unit/dated_money_value/currency,0.0024839037
http://bias.org/vocab/location/location/time_zones,0.0023944087
http://bias.org/vocab/time/time_zone/locations_in_this_time_zone,0.0023944087
http://bias.org/vocab/olympics/olympic_games/medals_awarded./olympics/olympic_medal_honor/country,0.0023285542
http://bias.org/vocab/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,0.0023285542
http://bias.org/vocab/people/person/religion,0.002261011
http://bias.org/vocab/government/legislative_session/members./government/government_position_held/district_represented,0.002212042
http://bias.org/vocab/government/political_district/representatives./government/government_position_held/legislative_sessions,0.002212042
http://bias.org/vocab/film/film/music,0.0021596958
http://bias.org/vocab/film/music_contributor/film,0.0021596958
http://bias.org/vocab/tv/tv_genre/programs,0.0020279866
http://bias.org/vocab/tv/tv_program/genre,0.0020279866
http://bias.org/vocab/film/film/featured_film_locations,0.0020195437
http://bias.org/vocab/film/film_location/featured_in_films,0.0020195437
http://bias.org/vocab/food/food/nutrients./food/nutrition_fact/nutrient,0.0019908377
http://bias.org/vocab/award/award_ceremony/awards_presented./award/award_honor/honored_for,0.0019317374
http://bias.org/vocab/award/award_winning_work/awards_won./award/award_honor/ceremony,0.0019317374
http://bias.org/vocab/film/director/film,0.0017561249
http://bias.org/vocab/film/film/directed_by,0.0017561249
http://bias.org/vocab/organization/organization/headquarters./location/mailing_address/citytown,0.0017544363
http://bias.org/vocab/education/educational_institution/colors,0.0017105332
http://bias.org/vocab/organization/membership_organization/members./organization/organization_membership/member,0.0016767615
http://bias.org/vocab/organization/organization_member/member_of./organization/organization_membership/organization,0.0016767615
http://bias.org/vocab/film/film/written_by,0.0016683186
http://bias.org/vocab/film/writer/film,0.0016683186
http://bias.org/vocab/government/legislative_session/members./government/government_position_held/legislative_sessions,0.0016615643
http://bias.org/vocab/people/person/languages,0.0016598757
http://bias.org/vocab/location/hud_foreclosure_area/estimated_number_foreclosures./measurement_unit/dated_integer/source,0.0016328584
http://bias.org/vocab/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,0.0016328584
http://bias.org/vocab/location/hud_foreclosure_area/hhuniv./measurement_unit/dated_integer/source,0.0016328584
http://bias.org/vocab/location/hud_foreclosure_area/total_90_day_vacant_residential_addresses./measurement_unit/dated_integer/source,0.0016328584
http://bias.org/vocab/location/hud_foreclosure_area/total_residential_addresses./measurement_unit/dated_integer/source,0.0016328584
http://bias.org/vocab/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office,0.001582201
http://bias.org/vocab/government/governmental_jurisdiction/governing_officials./government/government_position_held/basic_title,0.001582201
http://bias.org/vocab/people/cause_of_death/people,0.0015518066
http://bias.org/vocab/people/deceased_person/cause_of_death,0.0015518066
http://bias.org/vocab/organization/organization/leadership./organization/leadership/role,0.001550118
http://bias.org/vocab/organization/role/leaders./organization/leadership/organization,0.001550118
http://bias.org/vocab/olympics/olympic_games/athletes./olympics/olympic_athlete_affiliation/country,0.0015450522
http://bias.org/vocab/olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics,0.0015450522
http://bias.org/vocab/military/military_combatant/military_conflicts./military/military_combatant_group/combatants,0.001529855
http://bias.org/vocab/music/group_member/membership./music/group_membership/role,0.001521412
http://bias.org/vocab/music/performance_role/regular_performances./music/group_membership/member,0.001521412
http://bias.org/vocab/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for,0.0014927061
http://bias.org/vocab/education/educational_institution/school_type,0.0014927061
http://bias.org/vocab/education/school_category/schools_of_this_kind,0.0014927061
http://bias.org/vocab/business/employer/employees./business/employment_tenure/title,0.001489329
http://bias.org/vocab/business/job_title/people_with_this_title./business/employment_tenure/company,0.001489329
http://bias.org/vocab/organization/organization/headquarters./location/mailing_address/state_province_region,0.0014758203
http://bias.org/vocab/music/genre/parent_genre,0.0014656888
http://bias.org/vocab/music/genre/subgenre,0.0014656888
http://bias.org/vocab/people/deceased_person/place_of_death,0.0014504916
http://bias.org/vocab/film/film/executive_produced_by,0.0014437373
http://bias.org/vocab/film/producer/films_executive_produced,0.0014437373
http://bias.org/vocab/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/school,0.0014268515
http://bias.org/vocab/sports/sports_team/colors,0.0014065885
http://bias.org/vocab/olympics/olympic_games/sports,0.0013542424
http://bias.org/vocab/olympics/olympic_sport/olympic_games_contested,0.0013542424
http://bias.org/vocab/sports/pro_athlete/teams./sports/sports_team_roster/team,0.0013424224
http://bias.org/vocab/sports/sports_team/roster./sports/sports_team_roster/player,0.0013424224
http://bias.org/vocab/american_football/football_team/historical_roster./american_football/football_historical_roster_position/position_s,0.0012883878
http://bias.org/vocab/american_football/football_team/historical_roster./sports/sports_team_roster/position,0.0012883878
http://bias.org/vocab/sports/sports_position/players./american_football/football_historical_roster_position/team,0.0012883878
http://bias.org/vocab/sports/sports_team/roster./american_football/football_historical_roster_position/position_s,0.0012883878
http://bias.org/vocab/base/biblioness/bibs_location/country,0.0012664362
http://bias.org/vocab/sports/sports_team/roster./american_football/football_roster_position/position,0.001239419
http://bias.org/vocab/film/film/subjects,0.0012360418
http://bias.org/vocab/film/film_subject/films,0.0012360418
http://bias.org/vocab/american_football/football_team/current_roster./american_football/football_roster_position/position,0.0012343532
http://bias.org/vocab/location/statistical_region/religions./location/religion_percentage/religion,0.0012259103
http://bias.org/vocab/user/jg/default_domain/olympic_games/sports,0.0012073359
http://bias.org/vocab/base/aareas/schema/administrative_area/administrative_children,0.001198893
http://bias.org/vocab/base/aareas/schema/administrative_area/administrative_parent,0.001198893
http://bias.org/vocab/american_football/football_team/current_roster./sports/sports_team_roster/position,0.0011853843
http://bias.org/vocab/sports/sports_position/players./american_football/football_roster_position/team,0.0011853843
http://bias.org/vocab/education/educational_institution/campuses,0.0011144639
http://bias.org/vocab/education/educational_institution_campus/educational_institution,0.0011144639
http://bias.org/vocab/music/artist/origin,0.0011127753
http://bias.org/vocab/soccer/football_team/current_roster./sports/sports_team_roster/player,0.001106021
http://bias.org/vocab/sports/pro_athlete/teams./soccer/football_roster_position/team,0.001106021
http://bias.org/vocab/soccer/football_player/current_team./soccer/football_roster_position/team,0.0011043324
http://bias.org/vocab/soccer/football_player/current_team./sports/sports_team_roster/team,0.0011043324
http://bias.org/vocab/soccer/football_team/current_roster./soccer/football_roster_position/player,0.0011043324
http://bias.org/vocab/sports/sports_team/roster./soccer/football_roster_position/player,0.0011043324
http://bias.org/vocab/travel/travel_destination/climate./travel/travel_destination_monthly_climate/month,0.0011009552
http://bias.org/vocab/education/educational_degree/people_with_this_degree./education/education/major_field_of_study,0.0010435435
http://bias.org/vocab/education/field_of_study/students_majoring./education/education/degree,0.0010435435
http://bias.org/vocab/music/performance_role/guest_performances./music/recording_contribution/performance_role,0.0010232804
http://bias.org/vocab/olympics/olympic_games/participating_countries,0.0010063946
http://bias.org/vocab/olympics/olympic_participating_country/olympics_participated_in,0.0010063946
http://bias.org/vocab/award/award_winning_work/awards_won./award/award_honor/honored_for,0.000992886
http://bias.org/vocab/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency,0.0009844431
http://bias.org/vocab/location/administrative_division/second_level_division_of,0.0009827545
http://bias.org/vocab/location/country/second_level_divisions,0.0009827545
http://bias.org/vocab/education/university/domestic_tuition./measurement_unit/dated_money_value/currency,0.0009776888
http://bias.org/vocab/location/hud_county_place/place,0.00095911435
http://bias.org/vocab/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft,0.00093378563
http://bias.org/vocab/sports/sports_league_draft/picks./sports/sports_league_draft_pick/team,0.00093378563
http://bias.org/vocab/base/popstra/celebrity/canoodled./base/popstra/canoodled/participant,0.00091183407
http://bias.org/vocab/organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency,0.0009101455
http://bias.org/vocab/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony,0.0008915711
http://bias.org/vocab/people/person/spouse_s./people/marriage/spouse,0.0008915711
http://bias.org/vocab/sports/sport/teams,0.0008831282
http://bias.org/vocab/sports/sports_team/sport,0.0008831282
http://bias.org/vocab/military/military_combatant/military_conflicts./military/military_combatant_group/conflict,0.0008729967
http://bias.org/vocab/military/military_conflict/combatants./military/military_combatant_group/combatants,0.0008729967
http://bias.org/vocab/tv/tv_producer/programs_produced./tv/tv_producer_term/program,0.0008493566
http://bias.org/vocab/tv/tv_program/tv_producer./tv/tv_producer_term/producer,0.0008493566
http://bias.org/vocab/user/tsegaran/random/subject_taxonomy/entry./user/tsegaran/random/taxonomy_entry/subject,0.0008358479
http://bias.org/vocab/user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy,0.0008358479
http://bias.org/vocab/film/film/story_by,0.0008257164
http://bias.org/vocab/film/film_story_contributor/film_story_credits,0.0008257164
http://bias.org/vocab/location/administrative_division/country,0.00081389636
http://bias.org/vocab/location/country/administrative_divisions,0.00081389636
http://bias.org/vocab/film/actor/film./film/performance/special_performance_type,0.000807142
http://bias.org/vocab/film/film/other_crew./film/film_crew_gig/crewmember,0.000807142
http://bias.org/vocab/film/film_crewmember/films_crewed./film/film_crew_gig/film,0.000807142
http://bias.org/vocab/film/special_film_performance_type/film_performance_type./film/performance/actor,0.000807142
http://bias.org/vocab/location/statistical_region/rent50_0./measurement_unit/dated_money_value/currency,0.00077674753
http://bias.org/vocab/location/statistical_region/rent50_1./measurement_unit/dated_money_value/currency,0.00077674753
http://bias.org/vocab/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency,0.00077674753
http://bias.org/vocab/location/statistical_region/rent50_3./measurement_unit/dated_money_value/currency,0.00077674753
http://bias.org/vocab/location/statistical_region/rent50_4./measurement_unit/dated_money_value/currency,0.00077674753
http://bias.org/vocab/education/university/local_tuition./measurement_unit/dated_money_value/currency,0.00077168184
http://bias.org/vocab/olympics/olympic_games/athletes./olympics/olympic_athlete_affiliation/sport,0.00076999323
http://bias.org/vocab/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/olympics,0.00076999323
http://bias.org/vocab/base/popstra/celebrity/vacations_in./base/popstra/vacation_choice/location,0.00072946725
http://bias.org/vocab/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer,0.00072946725
http://bias.org/vocab/location/location/events,0.0007277787
http://bias.org/vocab/time/event/locations,0.0007277787
http://bias.org/vocab/award/ranked_item/appears_in_ranked_lists./award/ranking/list,0.0007193358
http://bias.org/vocab/award/ranked_list/ranked_list_items./award/ranking/item,0.0007193358
http://bias.org/vocab/base/marchmadness/ncaa_basketball_team/ncaa_tournament_seeds./base/marchmadness/ncaa_tournament_seed/tournament,0.0007193358
http://bias.org/vocab/base/marchmadness/ncaa_basketball_tournament/seeds./base/marchmadness/ncaa_tournament_seed/team,0.0007193358
http://bias.org/vocab/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location,0.00071427005
http://bias.org/vocab/education/field_of_study/students_majoring./education/education/major_field_of_study,0.00071258144
http://bias.org/vocab/film/film/film_format,0.0007108929
http://bias.org/vocab/film/film_format/film_format,0.0007108929
http://bias.org/vocab/sports/sports_team/location,0.0007092043
http://bias.org/vocab/sports/sports_team_location/teams,0.0007092043
http://bias.org/vocab/language/human_language/countries_spoken_in,0.0006906299
http://bias.org/vocab/location/country/languages_spoken,0.0006906299
http://bias.org/vocab/business/business_operation/industry,0.0006855641
http://bias.org/vocab/business/industry/companies,0.0006855641
http://bias.org/vocab/film/cinematographer/film,0.0006838756
http://bias.org/vocab/film/film/cinematography,0.0006838756
http://bias.org/vocab/business/employer/employees./business/employment_tenure/person,0.00065010396
http://bias.org/vocab/people/person/employment_history./business/employment_tenure/company,0.00065010396
http://bias.org/vocab/location/administrative_division/capital./location/administrative_division_capital_relationship/capital,0.0006433496
http://bias.org/vocab/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division,0.0006433496
http://bias.org/vocab/tv/tv_network/programs./tv/tv_network_duration/program,0.00063997245
http://bias.org/vocab/tv/tv_program/original_network./tv/tv_network_duration/network,0.00063997245
http://bias.org/vocab/base/biblioness/bibs_location/state,0.00063828385
http://bias.org/vocab/location/hud_county_place/county,0.0006365953
http://bias.org/vocab/location/us_county/hud_county_place,0.0006365953
http://bias.org/vocab/government/form_of_government/countries,0.00062308664
http://bias.org/vocab/location/country/form_of_government,0.00062308664
http://bias.org/vocab/film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium,0.0005994465
http://bias.org/vocab/film/film_distribution_medium/films_distributed_in_this_medium./film/film_film_distributor_relationship/film,0.0005994465
http://bias.org/vocab/sports/sports_league_draft/picks./sports/sports_league_draft_pick/school,0.0005943807
http://bias.org/vocab/base/culturalevent/event/entity_involved,0.00058931496
http://bias.org/vocab/tv/tv_program/recurring_writers./tv/tv_program_writer_relationship/writer,0.00056736346
http://bias.org/vocab/tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program,0.00056736346
http://bias.org/vocab/tv/tv_program/country_of_origin,0.0005589205
http://bias.org/vocab/education/field_of_study/students_majoring./education/education/student,0.00054878904
http://bias.org/vocab/people/person/education./education/education/major_field_of_study,0.00054878904
http://bias.org/vocab/education/educational_degree/people_with_this_degree./education/education/student,0.0005437233
http://bias.org/vocab/people/person/education./education/education/degree,0.0005437233
http://bias.org/vocab/olympics/olympic_medal/medal_winners./olympics/olympic_medal_honor/country,0.00054034614
http://bias.org/vocab/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/medal,0.00054034614
http://bias.org/vocab/people/person/spouse_s./people/marriage/location_of_ceremony,0.000528526
http://bias.org/vocab/tv/tv_program/languages,0.000528526
http://bias.org/vocab/film/film/film_festivals,0.0005183946
http://bias.org/vocab/film/film_festival_event/films,0.0005183946
http://bias.org/vocab/base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club,0.0005133288
http://bias.org/vocab/celebrities/celebrity/celebrity_friends./celebrities/friendship/friend,0.0005031973
http://bias.org/vocab/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity,0.0004863115
http://bias.org/vocab/baseball/baseball_team/team_stats./baseball/baseball_team_stats/season,0.00048462293
http://bias.org/vocab/film/film/release_date_s./film/film_regional_release_date/film_regional_debut_venue,0.00048462293
http://bias.org/vocab/film/person_or_entity_appearing_in_film/films./film/personal_film_appearance/type_of_appearance,0.00047955717
http://bias.org/vocab/film/personal_film_appearance_type/film_appearances./film/personal_film_appearance/person,0.00047955717
http://bias.org/vocab/location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency,0.00046435994
http://bias.org/vocab/location/country/official_language,0.0004592942
http://bias.org/vocab/tv/tv_producer/programs_produced./tv/tv_producer_term/producer_type,0.0004491627
http://bias.org/vocab/tv/tv_producer_type/tv_producers_of_this_type./tv/tv_producer_term/producer,0.0004491627
http://bias.org/vocab/business/business_operation/revenue./measurement_unit/dated_money_value/currency,0.00044578555
http://bias.org/vocab/music/artist/contribution./music/recording_contribution/performance_role,0.00044578555
http://bias.org/vocab/music/performance_role/guest_performances./music/recording_contribution/contributor,0.00044578555
http://bias.org/vocab/government/legislative_session/members./government/government_position_held/office_holder,0.00044409698
http://bias.org/vocab/government/politician/government_positions_held./government/government_position_held/legislative_sessions,0.00044409698
http://bias.org/vocab/music/group_member/membership./music/group_membership/group,0.0004407198
http://bias.org/vocab/music/musical_group/member./music/group_membership/member,0.0004407198
http://bias.org/vocab/film/film/personal_appearances./film/personal_film_appearance/person,0.0004322769
http://bias.org/vocab/film/person_or_entity_appearing_in_film/films./film/personal_film_appearance/film,0.0004322769
http://bias.org/vocab/business/business_operation/operating_income./measurement_unit/dated_money_value/currency,0.00041707966
http://bias.org/vocab/award/award_category/disciplines_or_subjects,0.0004137025
http://bias.org/vocab/award/award_discipline/awards_in_this_discipline,0.0004137025
http://bias.org/vocab/people/ethnicity/languages_spoken,0.0004137025
http://bias.org/vocab/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language,0.00041201393
http://bias.org/vocab/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency,0.00039850528
http://bias.org/vocab/base/petbreeds/city_with_dogs/top_breeds./base/petbreeds/dog_city_relationship/dog_breed,0.0003968167
http://bias.org/vocab/base/petbreeds/dog_breed/cities_where_this_dog_is_popular./base/petbreeds/dog_city_relationship/cities,0.0003968167
http://bias.org/vocab/film/film/costume_design_by,0.00039343952
http://bias.org/vocab/film/film_costumer_designer/costume_design_for_film,0.00039343952
http://bias.org/vocab/organization/organization/child./organization/organization_relationship/child,0.00039343952
http://bias.org/vocab/organization/organization/parent./organization/organization_relationship/parent,0.00039343952
http://bias.org/vocab/location/us_county/county_seat,0.00039006237
http://bias.org/vocab/user/ktrueman/default_domain/international_organization/member_states,0.0003866852
http://bias.org/vocab/film/editor/film,0.00038330804
http://bias.org/vocab/film/film/edited_by,0.00038330804
http://bias.org/vocab/business/business_operation/assets./measurement_unit/dated_money_value/currency,0.00037993086
http://bias.org/vocab/baseball/baseball_team/current_roster./sports/sports_team_roster/position,0.0003782423
http://bias.org/vocab/film/film/runtime./film/film_cut/film_release_region,0.0003782423
http://bias.org/vocab/sports/sports_position/players./baseball/baseball_roster_position/team,0.0003782423
http://bias.org/vocab/baseball/baseball_team/current_roster./baseball/baseball_roster_position/position,0.00037317653
http://bias.org/vocab/film/film/prequel,0.00037317653
http://bias.org/vocab/film/film/sequel,0.00037317653
http://bias.org/vocab/sports/sports_team/roster./baseball/baseball_roster_position/position,0.00037317653
http://bias.org/vocab/organization/organization/headquarters./location/mailing_address/country,0.00037148796
http://bias.org/vocab/basketball/basketball_position/player_roster_position./basketball/basketball_roster_position/team,0.00036304505
http://bias.org/vocab/basketball/basketball_position/player_roster_position./sports/sports_team_roster/team,0.00036304505
http://bias.org/vocab/basketball/basketball_team/roster./basketball/basketball_roster_position/position,0.00036304505
http://bias.org/vocab/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to,0.00036304505
http://bias.org/vocab/location/statistical_region/places_imported_from./location/imports_and_exports/imported_from,0.00036304505
http://bias.org/vocab/sports/sports_team/roster./basketball/basketball_roster_position/position,0.00036304505
http://bias.org/vocab/basketball/basketball_team/roster./sports/sports_team_roster/position,0.0003596679
http://bias.org/vocab/sports/sports_position/players./basketball/basketball_roster_position/team,0.0003596679
http://bias.org/vocab/influence/influence_node/peers./influence/peer_relationship/peers,0.00034447067
http://bias.org/vocab/medicine/disease/risk_factors,0.00033771634
http://bias.org/vocab/medicine/disease/symptoms,0.00033771634
http://bias.org/vocab/medicine/risk_factor/diseases,0.00033771634
http://bias.org/vocab/medicine/symptom/symptom_of,0.00033771634
http://bias.org/vocab/location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency,0.00033265058
http://bias.org/vocab/film/film/film_production_design_by,0.000330962
http://bias.org/vocab/film/film_production_designer/films_production_designed,0.000330962
http://bias.org/vocab/base/popstra/celebrity/breakup./base/popstra/breakup/participant,0.00032420768
http://bias.org/vocab/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee,0.0003225191
http://bias.org/vocab/award/hall_of_fame_inductee/hall_of_fame_inductions./award/hall_of_fame_induction/hall_of_fame,0.0003225191
http://bias.org/vocab/base/aareas/schema/administrative_area/administrative_area_type,0.0003225191
http://bias.org/vocab/film/film/distributors./film/film_film_distributor_relationship/region,0.0003225191
http://bias.org/vocab/sports/sports_league/teams./sports/sports_league_participation/team,0.0003225191
http://bias.org/vocab/sports/sports_team/league./sports/sports_league_participation/league,0.0003225191
http://bias.org/vocab/location/statistical_region/gni_in_ppp_dollars./measurement_unit/dated_money_value/currency,0.00030732187
http://bias.org/vocab/location/statistical_region/gni_per_capita_in_ppp_dollars./measurement_unit/dated_money_value/currency,0.00030732187
http://bias.org/vocab/travel/travel_destination/how_to_get_here./travel/transportation/mode_of_transportation,0.00030732187
http://bias.org/vocab/award/award/category,0.00030563326
http://bias.org/vocab/award/award_category/category_of,0.00030563326
http://bias.org/vocab/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/contact_category,0.0003022561
http://bias.org/vocab/tv/tv_program/program_creator,0.0003022561
http://bias.org/vocab/tv/tv_program_creator/programs_created,0.0003022561
http://bias.org/vocab/location/country/capital,0.00029887896
http://bias.org/vocab/location/administrative_division/first_level_division_of,0.00028874745
http://bias.org/vocab/location/country/first_level_divisions,0.00028874745
http://bias.org/vocab/people/deceased_person/place_of_burial,0.00028874745
http://bias.org/vocab/people/place_of_interment/interred_here,0.00028874745
http://bias.org/vocab/organization/organization/founders,0.00028705888
http://bias.org/vocab/organization/organization_founder/organizations_founded,0.00028705888
http://bias.org/vocab/people/person/sibling_s./people/sibling_relationship/sibling,0.00028368173
http://bias.org/vocab/base/aareas/schema/administrative_area/capital,0.00028199313
http://bias.org/vocab/base/eating/diets/people_who_follow_this_diet,0.00027861597
http://bias.org/vocab/base/eating/practicer_of_diet/diet,0.00027861597
http://bias.org/vocab/base/locations/continents/countries_within,0.00027861597
http://bias.org/vocab/base/locations/countries/continent,0.00027861597
http://bias.org/vocab/sports/pro_athlete/sports_played_professionally./sports/pro_sports_played/sport,0.0002769274
http://bias.org/vocab/sports/sport/pro_athletes./sports/pro_sports_played/athlete,0.0002769274
http://bias.org/vocab/education/fraternity_sorority/colleges_and_universities,0.00027355022
http://bias.org/vocab/education/university/fraternities_and_sororities,0.00027355022
